CÓDIGO	DISCIPLINA	CARGA HORÁRIA	CRÉDITO	CONCEITO	SITUAÇÃO	CATEGORIA
	2º Quadrimestre de 2011					
MC8000	Base Experimental das Ciências Naturais	36	3	B	Aprovado	Obrigatória
BC0003	Bases Matemáticas	48	4	B	Aprovado	Obrigatória
BC0005	Bases Computacionais da Ciência	24	2	B	Aprovado	Obrigatória
BC0102	Estrutura da Matéria	36	3	B	Aprovado	Obrigatória
BC0304	Origem da Vida e Diversidade dos Seres Vivos	36	3	B	Aprovado	Obrigatória
	3º Quadrimestre de 2011					
BC0208	Fenômenos Mecânicos	60	5	C	Aprovado	Obrigatória
BC0306	Transformações nos Seres Vivos e Ambiente	36	3	B	Aprovado	Obrigatória
BC0402	Funções de Uma Variável	48	4	A	Aprovado	Obrigatória
BC0404	Geometria Analítica	36	3	C	Aprovado	Obrigatória
BC0504	Natureza da Informação	36	3	B	Aprovado	Obrigatória
	1º Quadrimestre de 2012					
BC0004	Bases Epistemológicas da Ciência Moderna	36	3	C	Aprovado	Obrigatória
BC0205	Fenômenos Térmicos	48	4	C	Aprovado	Obrigatória
BC0307	Transformações Químicas	60	5	C	Aprovado	Obrigatória
BC0405	Introdução às Equações Diferenciais Ordinárias	48	4	A	Aprovado	Obrigatória
BC0505	Processamento da Informação	60	5	A	Aprovado	Obrigatória
	2º Quadrimestre de 2012					
BC0209	Fenômenos Eletromagnéticos	60	5	C	Aprovado	Obrigatória
BC0308	Transformações Bioquímicas	60	5	A	Aprovado	Obrigatória
BC0407	Funções de Várias Variáveis	48	4	C	Aprovado	Obrigatória
BC0506	Comunicação e Redes	36	3	A	Aprovado	Obrigatória
BC0602	Estrutura e Dinâmica Social	36	3	C	Aprovado	Obrigatória
	3º Quadrimestre de 2012					
BC0103	Física Quântica	36	3	A	Aprovado	Obrigatória
BC0207	Energia: Origens, Conversão e Uso	24	2	A	Aprovado	Obrigatória
BC0406	Introdução à Probabilidade e à Estatística	36	3	B	Aprovado	Obrigatória
BC0603	Ciência, Tecnologia e Sociedade	36	3	O	Repr.Freq	Obrigatória
BC1309	Termodinâmica Aplicada	48	4	B	Aprovado	Opção Limitada
	1º Quadrimestre de 2013					
BC0603	Ciência, Tecnologia e Sociedade	36	3	B	Aprovado	Obrigatória
BC1419	Cálculo Numérico	48	4	B	Aprovado	Opção Limitada
BC1425	Álgebra Linear	72	6	B	Aprovado	Opção Limitada
BC1519	Circuitos Elétricos e Fotônica	48	4	B	Aprovado	Opção Limitada
	2º Quadrimestre de 2013					
BC0104	Interações Atômicas e Moleculares	36	3	B	Aprovado	Obrigatória
BC1103	Mecânica dos Fluidos I	48	4	D	Aprovado	Opção Limitada
BC1507	Instrumentação e Controle	48	4	B	Aprovado	Opção Limitada
BC1710	Introdução às Engenharias	24	2	A	Aprovado	Opção Limitada
BC1713	Engenharia Econômica	36	3	A	Aprovado	Opção Limitada
	3º Quadrimestre de 2013					
BC1707	Métodos Experimentais em Engenharia	36	3	B	Aprovado	Opção Limitada
EN2706	Análise de Sistemas Dinâmicos Lineares	36	3	C	Aprovado	Opção Limitada


DISCIPLINAS CURSADAS EM MOBILIDADE
DISCIPLINA / INSTITUIÇÃO	CARGA HORÁRIA	CRÉDITO	SITUAÇÃO	PERIODO
CURSADO	CATEGORIA


 

COEFICIENTE DE PROGRESSÃO (CP)	0,658
COEFICIENTE DE RENDIMENTO (CR)	2,836
COEFICIENTE DE APROVEITAMENTO (CA)	2,904


Situação	Quantidade	Créditos	Carga Horária
APROVADO	35	125	1500
DISP. EQUIVALÊNCIA	N/D	N/D	N/D
APROVEITAMENTO EXTERNO	N/D	N/D	N/D
REPR. FREQ.	1	3	36
REPROVADO	0	0	0
TRANCAMENTO	0	N/D	N/D


INTEGRALIZAÇÃO DO CURSO
Tipo de Disciplina (Somente Aprovadas)	Quantidade	Créditos	Concluído (%)	Carga Horária Total
OBRIGATÓRIA	25	88	97,8	1056
OPÇÃO LIMITADA	10	37	64,9	444
LIVRE ESCOLHA	0	0	0,0	0
ATIVIDADES COMPLEMENTARES	0	N/D		0
ESTÁGIO OBRIGATÓRIO	0	0		0
TOTAL	35	125		1500

                                   

